iter	Passed	Remaining
903	29644	3148
904	29680	3115
905	29705	3082
906	29736	3049
907	29776	3017
908	29810	2984
909	29846	2951
910	29869	2918
911	29909	2885
912	29936	2852
913	29967	2819
914	29998	2786
915	30032	2754
916	30064	2721
917	30094	2688
918	30121	2654
919	30151	2621
920	30184	2589
921	30208	2555
922	30240	2522
923	30272	2489
924	30300	2456
925	30325	2423
926	30349	2389
927	30383	2357
928	30409	2324
929	30438	2291
930	30475	2258
931	30503	2225
932	30531	2192
933	30559	2159
934	30586	2126
935	30620	2093
936	30646	2060
937	30679	2027
938	30711	1995
939	30736	1961
940	30772	1929
941	30807	1896
942	30840	1864
943	30879	1831
944	30908	1798
945	30945	1766
946	30974	1733
947	31013	1701
948	31041	1668
949	31076	1635
950	31115	1603
951	31142	1570
952	31178	1537
953	31212	1504
954	31240	1472
955	31269	1439
956	31296	1406
957	31328	1373
958	31361	1340
959	31394	1308
960	31423	1275
961	31456	1242
962	31493	1210
963	31529	1177
964	31551	1144
965	31590	1111
966	31622	1079
967	31654	1046
968	31690	1013
969	31721	981
970	31744	948
971	31772	915
972	31798	882
973	31828	849
974	31856	816
975	31893	784
976	31920	751
977	31949	718
978	31977	685
979	32006	653
980	32040	620
981	32080	588
982	32110	555
983	32139	522
984	32165	489
985	32200	457
986	32231	424
987	32268	391
988	32300	359
989	32338	326
990	32378	294
991	32407	261
992	32446	228
993	32478	196
994	32511	163
995	32545	130
996	32580	98
997	32606	65
998	32638	32
999	32669	0
